name,red_mean,red_std,green_mean,green_std,blue_mean,blue_std
ca chua,103.109625,59.11365203875815,23.331375,13.37608184818615,21.0735,12.081622314490716
ca chua,102.1598,58.7971773468761,23.286425,13.40229777759676,21.0329,12.105301218474493
ca chua,101.383425,60.091017301002445,22.940775,13.597237491467705,20.7207,12.281375798745024
ca chua,104.171375,58.479081778097154,23.571625,13.232492957087679,21.2905,11.951929122530807
ca chua,101.88005,59.81657180077692,23.05315,13.535136684847332,20.8222,12.225284747604041
ca chua,103.36545,59.83323362728694,23.9688,13.874373015023059,21.721725,12.573650544864645
ca chua,103.74265,60.47884688862297,24.62955,14.358287390824158,21.64415,12.617888919209108
ca chua,104.62125,59.09421755499856,25.018125,14.131225937064874,21.985625,12.418350065905496
ca chua,103.54805,60.58861519458503,23.8384,13.948458174292957,21.60355,12.640790220452992
ca chua,104.10405,60.27279422423934,24.71535,14.30936841294891,21.71955,12.574899514409651
ca chua,105.7095,59.32218901684259,25.0965,14.083685162271983,22.0545,12.376571809269318
ca chua,104.816425,59.85816673787608,24.884475,14.210931671582092,21.868175,12.488394499269111
ca chua,105.64,59.36455508129409,25.08,14.093743292681332,22.8,12.812493902437575
ca chua,106.428825,58.877091335419884,25.267275,13.978014489704,22.204575,12.283709703073212
ca chua,107.3135,59.225861899595856,25.295325,13.960381733476167,22.229225,12.26821425063057
ca chua,106.7381,58.68197260138756,25.3407,13.931691337020066,22.2691,12.243001477987331
ca chua,107.2995,59.23467987378678,24.5256,13.539355399722693,22.226325,12.270040830998688
ca chua,106.484425,58.84218136183748,24.5144,13.54640146459568,21.4501,11.853101281521218
ca chua,106.275925,58.972716915488775,24.4664,13.576452815076552,21.4081,11.879396213191983
ca chua,106.0014,59.14302831306494,23.6406,13.190171782050452,21.3528,11.91370354507783
ca chua,106.32805,58.94017927693722,23.71345,13.144932068957223,21.4186,11.872841868735556
ca chua,106.053525,59.11082650474763,23.652225,13.182990083792637,21.3633,11.907216849877221
ca chua,106.0292,59.12586191642368,23.6468,13.186343305101683,21.3584,11.910245565898295
ca chua,106.56435,58.79186983824804,23.76615,13.111855863206397,21.4662,11.842966586121907
ca chua,105.921475,59.192281243624784,23.622775,13.20115624857819,21.3367,11.923624998715784
ca chua,105.546375,55.75592658506695,22.672925,11.977199044199567,21.109275,11.151185317013388
ca chua,105.0705,56.077691908191085,22.5707,12.046319002500308,21.7924,11.630928692069263
ca chua,104.540625,56.42908912617122,22.456875,12.121804330807151,20.908125,11.285817825234243
ca chua,103.096125,57.35125007342364,21.3829,11.89507408930268,21.3829,11.89507408930268
ca chua,105.019875,56.111576167350485,22.559825,12.053597843356771,21.7819,11.637956538413434
ca chua,102.900375,57.4722841886363,21.3423,11.920177461346789,21.3423,11.920177461346789
ca chua,104.574375,56.40692083742363,22.464125,12.117042253965074,21.6895,11.699213210724897
ca chua,103.251375,57.254599689539134,21.4151,11.875028083756265,21.4151,11.875028083756265
ca chua,103.43025,57.14251600111339,21.4522,11.851781096527223,20.68605,11.428503200222679
ca chua,102.893625,57.47644134216536,21.3409,11.921039685782446,21.3409,11.921039685782446
ca chua,102.961125,57.43482056848768,21.3549,11.912407229019665,20.592225,11.486964113697535
ca chua,102.427875,57.76065744072149,21.2443,11.97998820992742,20.485575,11.552131488144298
ca chua,101.72925,58.177387741608854,21.0994,12.066421161222577,20.34585,11.63547754832177
ca chua,100.963125,58.62140620314712,20.9405,12.158513879171252,20.192625,11.724281240629423
ca chua,101.172375,58.501462903583665,20.9839,12.133636750372908,20.234475,11.700292580716733
ca chua,101.99925,58.01768479901193,21.1554,12.033297587943213,20.39985,11.603536959802385
ca chua,102.2085,57.89274589920572,21.1988,12.007384334650075,20.4417,11.578549179841144
ca chua,101.5605,58.27634459838744,21.0644,12.086945546332208,20.3121,11.655268919677487
ca chua,100.9665,58.619479507668785,20.9412,12.158114268257227,20.1933,11.723895901533753
ca chua,103.487625,57.1063993512056,21.4641,11.844290235805605,20.697525,11.42127987024112
ca chua,101.952,58.04575519364013,21.1456,12.039119595717953,20.3904,11.609151038728026
ca chua,101.2588,59.31148474418762,20.8474,12.211188035568037,20.10285,11.775074177154892
ca chua,100.706625,58.76708310023031,20.8873,12.188728346714434,20.141325,11.753416620046062
ca chua,102.1598,58.7971773468761,21.0329,12.10530121847449,20.281725,11.6729690321004
ca chua,100.9324,59.493336015389154,21.52235,12.68607900328151,20.7802,12.248628003168356
ca chua,102.9792,58.31342527548866,21.9588,12.434480389626257,21.2016,12.005705203777076
ca chua,103.0472,58.272581650035036,21.9733,12.425771087139823,21.2156,11.997296222066035
ca chua,103.1016,58.23982896128732,21.9849,12.418787057921557,21.2268,11.990553021441505
ca chua,101.678625,58.20714383225976,21.842075,12.503756823226169,21.0889,12.072592794839062
ca chua,101.6498,59.09053189775837,21.675325,12.600186948786712,20.9279,12.165697743656136
ca chua,100.828125,58.69826304060773,21.659375,12.609256505019438,20.9125,12.174454556570492
ca chua,101.570625,58.270425707294905,22.57125,12.94898349050998,21.818875,12.51735070749298
ca chua,101.415375,58.36092304452847,21.785525,12.536790876232045,21.785525,12.536790876232045
ca chua,100.656,58.79566024801491,22.368,13.065702277336646,21.6224,12.63017886809209
ca chua,100.56825,58.84505792279841,21.60355,12.640790220452992,21.60355,12.640790220452992
ca chua,99.763,58.443013534553465,21.5905,12.648114869418288,21.5905,12.648114869418288
